HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
Arangala Forest Lodge,7.695773,80.6436649,1,0,72
Arches Fort,6.0269576,80.2167583,10,35,28.8
Arena Hotel,6.9381183,79.951242,0,3,64
Arken Lanka Hotel,6.0453923,80.2148267,15,19,44.4
Arne's Place Arugam Bay,6.8465438,81.8310454,0,11,28.8
Arrowana 888 Weligama,5.9727706,80.4338566,4,14,22.2
Artisan Villa Colombo,6.9122886,79.8795752,20,18,49.2
Arugambay Roccos,6.8441926,81.8311062,0,11,60.8
Aryana Boutique Hotel,8.3251616,80.4170596,11,0,55.2
Asanka Surf House,5.9646854,80.3930339,2,8,23.4
Ashan's Cozy Apartments,6.8905394,79.8573123,18,22,32.4
Ashen's Beach House,6.07895,80.150845,11,4,27.6
Asian Grand Hotel,7.2463463,79.8422944,2,7,52.8
Asian Jewel Boutique Hotel,6.1415872,80.1184539,2,4,54
Asiri Holiday,7.2023486,79.8393725,6,15,30
Asliya Hotels,7.4521687,80.4205364,3,0,25.2
Asnara Village,8.0312229,80.7790254,0,0,46.8
ASR Hotel Jaffna,9.6746308,80.0112799,3,12,51.6
Aswadduma Hotel,7.8731104,80.715696,1,0,48
Atara Lagoon Kalpitiya,8.2423654,79.7654424,1,5,54
Athena Lake,7.9154701,80.6635894,0,2,55.2
Athi Hotel,8.9834534,79.9019294,3,3,49.2
Athkandura Hotel,8.0240793,80.7473713,0,8,51.6
Athreya Ayurvedic Hotel And Spa,8.0345968,80.7534291,0,6,68.8
Atrium Leisure,6.8390192,79.9022561,6,5,28.8
Aurora Beach Hostel,7.2260072,79.8408123,2,10,49.2
Auslink Hotel Walapane Sri Lanka,7.0950433,80.8627914,3,3,48
Avani Bentota Resort,6.4233345,79.9962977,7,14,86
Avani Kalutara Resort,6.5692293,79.9599355,6,3,92
Avasta Resort and Spa,8.3523,80.416853,7,6,60.8
Avenra Beach Hotel,6.1238282,80.1111567,17,12,80
Avenra Gangaara Hotel,7.3512177,79.8506875,2,0,88
Avenra Garden Hotel,7.3512177,79.8506875,2,0,88
AWON HOTEL MIRISSA,5.9471959,80.4601599,3,22,49.2
Ayana Lake,6.7509899,79.9196014,13,1,52.8
