HotelName,Latitude,Longitude,TransportationModesCount,AttractionPlacesCount,Rating
Fairway Colombo,6.9339603,79.8439385,17,47,82
Fairway Sunset Serviced Apartments,6.0390264,80.2490141,5,5,65.6
Far Cry Boutique Hotel,7.5283687,80.9693606,0,0,25.8
Fern BnB,6.9144545,79.8705364,24,30,50.4
"Fig and Gecko Hostel, Tours, Safaris, Village Experiences",8.3572779,80.422621,4,3,25.8
Finlanka,6.1361111,80.1008333,16,12,56.4
Flora and Fauna Mirissa Beach,5.9449658,80.4605062,3,22,45.6
Flora and Fauna Restaurant Mirissa Beach,5.9449526,80.4605224,3,22,25.8
Flower Garden Eco Village,7.9530963,80.7435455,1,15,48
Forest Shade Eco Resort Deraniyagala,6.9134509,80.3937938,0,3,56.4
Forever City Hotel,6.9788038,79.9372237,3,0,51.6
Fort Bazaar,6.0268425,80.217675,10,35,52.8
Fort Edge Retreat,6.028904,80.2648221,3,2,52.8
Fort Fifty Inn Guest House & Restaurant,6.026026,80.2186897,9,35,44.4
Fort Sapphire,6.0267168,80.215901,10,35,26.4
Fort Thari Inn,6.0268592,80.2155154,10,35,22.8
Fortuna Heritage Home,7.288563,80.643714,12,36,52.8
Four Points Resort - Anuradhapura,8.353671,80.4587249,0,1,48
Four Teess Rest Inn,9.0253882,79.8666707,1,1,49.2
Fox Kandy by Fox Resorts,7.2752652,80.6260757,9,5,75.2
Frangipani Beach Villa,6.03083,80.798445,8,4,65.6
Freedom Resort Talalla,5.9423823,80.62088,0,4,51.6
French Garden,7.2882852,80.6740763,2,2,28.8
FRENCH GARDEN PRAGASH BEACH HOTEL,8.6105267,81.2190079,0,5,28.8
Fresco Water Villa,7.9457366,80.7354858,1,6,64
Fresh Wave Hotel & Restaurant,5.9452085,80.4597848,3,21,44.4
Friends Inn,9.3871018,80.3991938,2,2,44.4
Full Moon Garden Hotel,7.1542041,79.8745393,10,6,80
Full Moon Resort Unawatuna,6.0097847,80.2477455,3,19,44.4
Funky Hotel,6.9137567,79.8544559,22,43,51.6
G.M.T. Sorabora Village Hotel (Pvt)Ltd,7.3464437,80.9965582,5,2,60.8
Gal Oya Lodge,7.3016845,81.3859147,0,0,55.2
Galadari Hotel,6.9316682,79.843027,17,48,84
Galavilla Boutique Hotel & Spa,7.2209181,80.6952249,2,3,55.2
Galaxy City Hotel,7.3058578,80.6355057,13,36,48
Galle Fort Hotel,6.0266773,80.2175638,10,35,70.4
Galle My Bungalow,6.0397816,80.2280892,6,28,24
Gamagedara Resort,7.8736801,80.6492668,5,3,49.2
Gamodh Citadel Resort - Anuradhapura,8.3640036,80.3646787,1,3,67.2
Ganga Addara Hotel,7.2746753,80.6067609,7,11,60.8
Gangaa & Brothers Guest House,6.8883828,79.9398514,3,2,21.6
Gangula Villa,7.2868411,80.6126399,6,6,55.2
Garden Beach Hotel,6.5958414,79.9547272,3,4,49.6
Garden Beach Hotel -Kalutara,6.5958414,79.9547272,3,4,50.4
Garland Villa Negombo,7.250507,79.850623,2,7,27.6
Garton's Cape,5.9658007,80.3823397,3,8,65.6
GATEWAY Inn-Mannar,8.9810283,79.9012417,3,3,22.2
Gaya Family Resort,7.4357451,80.4476532,3,0,22.8
Gedara Villa,6.5962978,79.9557914,3,4,23.4
GiGi Colombo,6.8991203,79.8520188,22,27,50.4
Gimdula Hotel,6.9693386,79.9265079,2,0,46.8
Ging Oya Lodge,7.3014296,79.8457957,3,1,27
"Ginganga Lodge, Galle",6.0586605,80.193119,15,10,75.2
Global Surf Beach House Kabalana,5.9757501,80.354475,4,8,55.2
Global Towers,6.8775404,79.8572082,15,13,80
Gloria Grand Hotel,6.0113928,80.2482669,3,19,54
Gloriya Mathew Family Guest House,7.2250231,79.8428457,2,13,25.8
Gnanam Holiday Inn,7.9211017,81.5538947,4,4,49.2
Gnanams Hotel - Jaffna,9.6670419,80.0145791,5,17,59.2
Go Go Green Resort,8.0315369,80.7754269,1,0,27
Goalma Family Holiday Resort and Restaurant,8.3194293,80.4162368,9,0,25.8
God's Little Acre,6.7792429,79.8915437,25,3,48
Gold ocean house,5.9635852,80.7088719,2,3,25.8
Golden Bay Resort,5.9728714,80.4322607,4,15,46.8
Golden Beach Cottages (PVT) Ltd,8.6163466,81.2185392,0,4,54
Golden Pier City Hotel,6.9462783,79.8580698,16,34,67.2
Golden Rainbow Guesthouse,7.8508778,80.6508145,2,5,56.4
Golden RELAX,6.0213988,80.2459375,5,17,29.4
Golden Residence,6.9448077,79.8598698,19,35,30
Golden Star Beach Hotel,7.2268112,79.840325,2,10,62.4
Golden Star Guest house,9.6731149,80.0127265,3,14,45.6
Good Story Surf Resort & Restaurant,5.9735476,80.4378684,3,13,51.6
Good Vibes Villas Retreat And Restaurant,6.0220752,80.2903058,1,0,54
Governor's Camp Wilpattu,8.2700018,79.8949489,0,0,50.4
Goviyapana Beach Hotel,5.9653876,80.3810132,3,8,49.2
Grace Beach Resort by Travel Corners,7.2325768,79.8405227,2,9,46.8
Grace villa bentota,6.4254807,80.0080913,7,13,24
Grand Arena,6.9381183,79.951242,0,3,64
Grand Crown Hotel,8.316602,80.413978,8,0,43.2
Grand Holiday Resort,7.3524566,79.8444519,2,0,68.8
Grand Kalundawa Waterfront Resort,7.8082647,80.6586151,0,0,48
Grand Oriental Hotel,6.9373415,79.8449335,16,47,78.4
Grand Rovinka Hotel,6.8489234,79.8878359,9,9,50.4
Grand Tamarind Lake,6.4146536,81.3239926,2,3,68.8
Grand Thevni Banquet Hall & Holiday Resort,6.817501,80.1449086,0,0,64
Grandeeza Hotel,7.185537,79.8587927,5,1,86
Green Ayurvedic Beach Resort,7.2582289,79.8424431,3,8,40.8
Green Casa,6.0393308,80.2295556,7,26,55.2
Green Escape Unawatuna,6.0112408,80.2616559,2,12,28.2
Green Garden Guest Mirissa,5.9458241,80.4570028,3,22,45.6
Green Garden Resort,6.9977293,79.9462637,1,1,22.8
Green Grass Hotel & Restaurant (Pvt) Ltd.,9.6645239,80.0219387,5,16,76
Green Heritage Holiday Resort,7.323753,81.0065784,4,4,55.2
Green Hill Cottage,6.0108439,80.7768352,0,11,29.4
Green Hill Paradise,6.0073798,80.2605056,2,14,58.8
Green Land Villa,5.978987,80.358812,3,9,25.8
Green Nest Eco Bungalow,7.5449139,80.7438393,0,8,21.6
GREEN OLIVE VILLA,7.1461316,79.9015635,7,0,51.6
Green Peace Inn - Yoga | Health | Retreats,5.9689402,80.4492568,3,13,58.8
Green Sapphire Holiday Resort - Wilpattu(From SapphireBase),8.2779961,80.1466537,0,0,25.8
Green Serenity Holiday Resort,7.5151697,80.3086794,0,1,70.4
Green Shadows Beach Hotel,6.6202862,79.9436079,2,5,43.2
Green Star Inn,9.6593693,80.0339091,3,14,42
Green View Holiday Resort,7.390428,80.678103,1,3,44.4
Green View Resort,7.1788127,79.9068534,4,1,43.2
Green Wood Villa,7.2402866,79.8460871,2,7,28.2
Greenstar Family Hotel,9.6612425,80.0393108,3,10,24.6
Grindlays Regency,7.2904342,80.2442619,2,1,62.4
GSH Colombo,6.8677778,79.8625,14,10,76
Gt-Homes,7.2741084,80.5877096,6,9,52.8
Gurubeula - Leisure As You Wish,6.266701,80.507237,0,1,70.4
Habaraba dulwan guest house,8.041644,80.7557757,1,3,28.8
Habarana Ambasewana Resort,8.0439629,80.7395325,0,2,56.4
Habarana Village by Cinnamon,8.036549,80.74991,0,6,90
Haggai Tourist Bungalow,6.8749204,79.8772496,20,12,26.4
Halcyon House Colombo,6.8874245,79.8627026,16,20,48
Half Moon Beach Resort,7.3283468,81.8640524,0,2,43.2
Hamilton Beach Villa,7.0329893,79.8604322,0,2,49.2
Handagedara Resort,5.9460481,80.4532426,3,20,50.4
Handun Villas,5.9489378,80.6259078,0,3,52.8
Hangover Hostels Mirissa,5.9440017,80.4615067,3,22,68.8
Hangtime Hostel,5.9728756,80.4344308,4,14,70.4
Hansa Surf Hotel,6.125792,80.106876,17,14,43.2
Hansa Villa,6.7606315,79.9780602,2,0,0
Hanthana Boutique Villa by Amaya,7.2603508,80.6183543,5,4,54
Hanthana Eco Lodge,7.2400389,80.6396223,0,0,26.4
Hanthana Holiday Rooms,7.2749289,80.6388048,9,10,54
Hanthana House Kandy,7.2751669,80.626962,9,6,51.6
Hanthana Mount View - Lodge,7.2570826,80.5929715,6,7,55.2
Hanthana view,7.2619905,80.5734443,5,5,29.4
Happy Banana,6.0097304,80.2480894,3,19,60.8
Happy Bay,5.9723781,80.4304898,3,14,55.2
Happy Coconut,6.01257,80.2480577,3,16,25.8
Happy Man Village,6.3408475,80.0343499,2,1,58.8
Harding Boutique Hotels,5.9729217,80.3611386,3,9,27
Haritha Niwahana Boutique Hotel,7.5259966,80.4439581,0,0,24
Haritha Villas + Spa,6.1298545,80.1199148,13,11,58.8
Harmony Beach Bungalows,6.0369513,80.8052989,6,5,44.4
Hasara Resort,6.4237224,80.0170276,5,5,49.2
Hatale Tea Estate Bungalow,7.3753308,80.7273619,0,2,49.2
Haus Berlin Bentota,6.4145963,80.0140366,5,7,50.4
Haus Chandra Beach Hotel,6.8424336,79.8634379,4,5,49.2
Havana Club Resort,8.6165354,81.2167868,0,4,27.6
HAVEN FORT HOSTEL,6.9235716,79.8531654,24,60,22.2
Haven Hiriketiya,5.9616199,80.7065236,2,3,21.6
Heaven By O,6.012876,80.248064,3,18,52.8
Heaven Upon Rice Fields Guest House,8.360939,80.424032,4,3,56.4
Heavens Holiday Resort Kandy,7.2881073,80.6741542,2,2,49.2
Hedges Court Residencies,6.9218052,79.8654333,23,36,50.4
Heritage Hotel Anuradhapura,6.9053081,79.861063,24,36,28.8
Heritage Villas,6.8310555,79.8708657,6,6,27
Heritance Ahungalla,6.3115921,80.0317995,4,6,92
Heritance Ayurveda,6.4464163,79.985768,8,8,52.8
Heritance Kandalama,7.8711643,80.7080307,1,1,92
Heritance Negombo,7.2348583,79.8408631,2,9,90
Hibiscus Beach Hotel,6.6152063,79.9467249,2,6,64
Hideaway Lodge,7.0507533,80.1072133,0,0,20.4
Highest View Guest House,7.2873604,80.6424239,13,36,24
Hikka Boutique,6.1320462,80.1193938,15,11,54
Hikka Regent Hotel,6.1271875,80.1054094,16,14,28.8
Hikkaduwa Beach Hotel,6.1384172,80.0996475,18,11,62.4
Hikks Villa,6.1156891,80.1193063,16,13,24
Hill Country Villa,7.2935689,80.6092285,4,4,27.6
Hill View Resort,6.4475774,80.0227284,4,2,27
Hilltop Bungalow,5.9580446,80.4562723,3,19,28.2
Hilltop Cabanas (by SwellHouse),7.0269121,81.8763736,0,2,27
Hilton Colombo,6.9325537,79.8447382,18,50,92
Hilton Colombo Residences,6.9208808,79.8560999,25,53,90
HILTON COTTAGE,8.614731,81.2169023,0,4,27.6
Hiriketiya Beach Resort,5.9636967,80.7058638,2,3,51.6
Hiriketiya White House,5.9624579,80.7108147,2,2,24.6
Hiru Resort & Kite Surfing,8.2209891,79.720921,0,4,54
Hiru Resort Inn,6.0113389,80.2441579,3,14,25.2
Hiru Villa,6.5069027,79.9797793,4,1,54
Hitchhike Backpackers Hostel,6.8312345,79.8717127,6,7,24.6
Hive 68 - Hotels and Resorts,7.2093902,79.8378495,5,16,52.8
Holiday Fashion Inn,7.2345406,79.8417565,2,9,50.4
Holiday Inn Unawatuna,6.0112367,80.250306,3,20,50.4
Home Living Unit,6.0366297,80.2148382,15,36,46.8
Homefeel Guest House & Tours,9.6619456,80.0311236,3,14,27
Honey Beach Inn,6.7105403,79.9036227,4,2,22.8
Horathapola Estate,7.3979092,79.9601202,0,0,26.4
Hostel at Galle Face,6.9205088,79.8477177,22,55,51.6
Hostel First Colombo Airport,7.1700947,79.8658608,8,3,49.2
Hostel First Mirissa,5.9459019,80.4578001,3,22,51.6
Hotel 4 U Saliya Garden,8.3656033,80.4293475,4,2,48
Hotel A9 Spot,9.3601534,80.4084476,0,0,42
Hotel Afenta,8.366364,80.515884,2,6,28.2
Hotel Agape,8.9841957,79.9060058,3,4,62.4
Hotel Airport Lounge,7.1465282,79.8762476,9,5,24.6
Hotel Alakamanda,8.3091012,80.4172943,4,0,65.6
Hotel Alas Garden,8.615185,81.2160733,0,4,44.4
Hotel Apna Colombo,6.8981643,79.8888083,18,7,25.8
Hotel Apollo,6.9459449,79.8605045,18,32,17.4
Hotel Aubrona,6.9825542,79.9076126,7,0,49.2
Hotel Bamiyan,7.2837459,80.6493814,9,32,62.4
Hotel Bay Watch Unawatuna,6.0106065,80.2481506,3,19,24
Hotel Bella Vista,8.3234119,80.417404,11,0,55.2
Hotel Bentota Village,6.406753,80.0046464,6,8,51.6
Hotel blue bird,7.235597,79.841805,2,9,27.6
Hotel Blue Moon,6.9120367,79.8913777,15,6,40.8
Hotel Blue Note,6.1279507,80.1041085,15,14,48
Hotel Blue Sapphire,6.444031,79.9982759,10,12,29.4
Hotel Blue Sky,7.4830238,80.3531127,7,8,59.2
Hotel Blue Whale,9.6625592,80.0274503,5,16,44.4
Hotel Cedar,25.906514,93.7325218,10,10,60.8
Hotel Chathuna,7.727044,81.699593,8,10,30
Hotel Clarion,6.9832367,79.9327635,3,0,76
Hotel Clock Tower,9.6648625,80.011515,5,15,42
Hotel cloud Nine,7.2292934,79.8442396,2,8,51.6
Hotel Clover Grange,7.4742511,80.621573,4,2,42
Hotel Club Palm Bay,7.4341655,79.8126981,0,2,84
Hotel Coconut Bay,6.5644964,79.961787,5,1,54
Hotel Coral Bay,8.6927331,81.1885293,0,2,0
Hotel Crown Plaza Katunayake,7.1545208,79.8741764,10,6,50.4
Hotel Damas,7.0472961,79.9911152,0,0,46.8
Hotel Devon,7.2844896,80.6499863,9,32,60.8
Hotel Dorset,7.2335941,79.8423259,2,9,27
Hotel East Lagoon,7.7287349,81.7049026,8,9,65.6
Hotel Elephant Park,7.3004613,80.3845479,3,8,67.2
Hotel Eurolanka Colombo,6.885812,79.85506,16,16,60.8
Hotel Flower Garden,6.0139625,80.2485584,3,18,65.6
Hotel Fort Sea View,5.9437758,80.5433279,4,14,20.4
Hotel Freedom Village,7.8693867,80.6536831,5,6,50.4
Hotel Garcinia Leaf,6.1331826,80.1237074,11,8,54
Hotel Golden Carriage,6.7782853,79.8782252,26,1,40.8
Hotel Good Wood Plaza,7.165776,79.8815973,9,7,57.6
Hotel Grand Casa,7.3254899,80.6442337,7,6,25.8
Hotel Grand Detagamuwa,6.4037609,81.3274314,2,2,46.8
Hotel Green Garden,8.5955706,81.2151081,1,3,45.6
Hotel Happy Tuna,6.1394961,80.1013616,18,12,46.8
Hotel Hasara,6.0493841,80.2062607,17,8,59.2
Hotel Heladiv,8.3501691,80.4483337,1,0,24
Hotel Hemadan,6.4291286,79.9978786,9,18,29.4
Hotel Imperial,6.889996,79.858713,18,20,62.4
Hotel Italia,41.8996755,12.4929947,29,60,60
Hotel J,7.2326935,79.840586,2,9,60.8
Hotel J Ambalangoda,6.2454531,80.0464451,9,8,67.2
Hotel Janaki,6.8907823,79.869751,16,17,76
Hotel Janara,7.4785443,80.3615858,8,7,19.8
Hotel John Mary,9.0851407,79.8229395,1,1,22.8
Hotel Kabalana Beach,5.9780136,80.3480588,3,15,62.4
Hotel Kamrel,7.4772142,80.3442008,2,0,64
Hotel Kandyan View,7.2777791,80.6273268,13,10,46.8
Hotel Kings Jay,7.3010304,81.6826683,5,1,48
Hotel krishco (Pvt) LTD,6.9426838,79.8555445,17,44,46.8
Hotel Lagone Kandy,7.3047869,80.6353309,13,36,64
Hotel Lagoon Paradise,7.1354818,79.8386514,1,0,43.2
Hotel Lake Jay,7.2802251,81.6603105,3,1,48
Hotel Lihini Village,7.8599005,80.6623604,5,6,44.4
Hotel Lovusiyah (PVT) LTD,6.9212969,79.8546093,25,58,54
Hotel Lucky Elephant,6.1196226,80.1159125,14,10,54
Hotel Lux Etoiles,9.6704702,80.0299224,5,11,44.4
Hotel Nawathana,5.9440465,80.545808,4,14,67.2
Hotel Nelly Marine,6.8649362,79.8604456,13,10,60.8
Hotel Nilwala,6.4402201,79.9934505,10,14,65.6
Hotel Nippon,6.9239093,79.8522046,23,60,70.4
Hotel Ocean View Cottage,6.122003,80.113702,15,10,50.4
Hotel Okrin,6.4002601,81.3249636,2,0,67.2
Hotel Orchid Inn,6.865068,79.863925,13,10,39.6
Hotel Pabasara,6.9761746,79.9261646,4,0,21
Hotel Panorama,6.5936009,79.9610242,3,5,80
Hotel Pavana,7.263824,79.848508,3,7,46.8
Hotel Pillaiyar Inn,9.6717281,80.0087735,3,11,43.2
Hotel Queensbury - Kaduwela,6.9182494,79.9743281,1,0,60.8
Hotel Randiya,6.7504641,79.8933367,4,2,80
Hotel Refresh Blue,6.1241381,80.1106607,16,14,50.4
Hotel Riu Sri Lanka,6.30957,80.03324,3,7,90
Hotel River Grand,6.943444,79.957251,0,3,55.2
Hotel River View Banquet & Resort Thalpitiya,6.683773,79.9201195,3,4,59.2
Hotel Royal Castle,7.2280065,79.8408926,2,9,46.8
Hotel Royal Grand Paradise,6.9665989,79.9309337,3,0,80
Hotel Royal Sea Wind,5.9369819,80.5275625,3,9,20.4
Hotel Sanmark,5.967369,80.374787,3,8,52.8
Hotel Sapphire,6.8709665,79.8624631,16,10,76.8
Hotel Sea Line,6.0367915,80.2229086,10,34,59.2
Hotel Sea Mountain,7.3904146,79.8214762,0,1,43.2
Hotel Sea Shadow,8.610275,81.2166096,0,5,25.8
Hotel See Kandy,7.2879488,80.6406973,13,35,48
Hotel Sekku Villa,6.4713432,80.0050619,4,1,43.2
Hotel Senora,6.4134726,81.3400421,3,2,65.6
Hotel Shalini,8.3318868,80.4159692,11,3,45.6
Hotel Shanelo,7.2411771,79.8423389,1,7,54
Hotel Sico,7.2398803,79.8432339,1,7,51.6
Hotel Sigiriya,7.9500937,80.7630675,1,13,90
Hotel Sinharagama Resort & Spa,8.279964,80.2516454,0,0,59.2
Hotel Spring View,7.5059733,80.621994,0,2,44.4
Hotel Star Rest,6.8600615,79.8644366,12,9,62.4
Hotel Star White - Negombo,7.2220578,79.8398218,6,14,42
Hotel Sumadai,6.467506,79.975357,6,6,43.2
Hotel Sunflower,6.4155297,81.3423309,3,2,44.4
Hotel Sunhill - Colombo,6.8972289,79.8522631,21,22,56
Hotel Sunray,7.2926752,80.6479398,11,37,44.4
Hotel Sunrise,7.9255962,81.5622898,0,6,70.4
Hotel Sunshine,6.8888244,79.8563012,17,18,48
Hotel Surasa,7.489212,80.32276,1,0,30
HOTEL T & T,6.9459905,79.8713522,15,15,0
HOTEL THAI LANKA,6.1394273,80.1029971,18,13,44.4
Hotel Thilon,7.1855289,79.8989527,4,0,45.6
Hotel TK Green Garden,5.9367418,80.523466,3,8,46.8
Hotel Topaz Kandy,7.290154,80.624955,12,30,84
Hotel Tourmaline,7.2916689,80.6253814,12,31,67.2
Hotel Travellers Nest,7.292432,80.647564,11,38,50.4
Hotel Tree of Life Nature Resort,7.3196751,80.5769704,4,1,65.6
Hotel Vacanza,5.945257,80.461094,3,22,52.8
Hotel Villa Kapuru,7.2412378,79.8451167,2,7,56.4
Hotel Viveka,6.8621051,79.8640215,12,11,27
Hotel Water Garden,7.9928879,80.7458877,1,1,76.8
Hotel Wild Air,7.9986195,80.7519073,0,0,45.6
Hotel Willow Lake,7.4929643,80.3591327,8,8,22.2
Hotel Wunderbar,6.411594,80.0002638,6,12,64
Hotel Yo,7.2864948,80.6470148,12,33,51.6
House of Esanya,7.1961,79.8659321,4,4,54
Hubaha Jungle Eco Resort-Yala Kataragama,6.422583,81.34826,2,2,54
Huluganga Ridge,7.3200445,80.7434539,2,1,28.8
Hunas Falls Hotels,7.4009088,80.6912437,0,5,90
i Resort,7.3003629,79.8401182,2,1,86
I&I Rest Mirissa,6.9304515,79.8650007,27,41,0
IBIS,6.403017,80.8028008,0,1,25.8
Ibiza Restaurant and Resort,6.192998,80.0623559,16,1,24.6
il Frangipane,7.9490668,80.7497417,1,13,58.8
Ilamperuma Holiday Home,5.970416,80.419019,3,17,51.6
Imaaga Kandy Residence,7.2823162,80.6506521,5,26,55.2
Imagine Villa Hotel,5.9400816,80.4964664,2,11,55.2
Imma Lake Resort,6.7538889,79.9166667,16,1,48
Indika Beach Villa - 195,6.0682363,80.1677196,10,6,27
Indunil Homestay,5.9703431,80.7061643,2,4,29.4
Induruwa Beach Resort,6.3758511,80.0093105,2,4,62.4
Inn On The Bay Guest House pasikudah,7.9222627,81.5685069,0,5,48
Inn On The Tree Eco Resort Sigiriya,7.9407,80.7222671,1,3,55.2
Insight Resort,5.9733295,80.3598627,3,9,67.2
Isanka Lion Lodge,7.9471747,80.7333327,1,6,27.6
Ishq Talpe,5.9986765,80.2744812,1,13,28.2
ISI ARANA ECO VILLA,8.3155887,80.3763784,3,1,25.8
Island Hostels- Colombo,6.9096042,79.8516148,23,37,48
Island Sisters,5.9733263,80.4336035,4,14,28.2
Ivy Beach Resort,6.0676956,80.1681681,11,6,52.8
Ivy Lane Colombo Hotel,6.9022967,79.8525062,22,31,64
J Guest Jaffna & Restaurant,9.6605251,80.0387606,3,10,51.6
J7 Villaj Resort,8.6173038,81.2158737,0,4,54
Jack Tree Lodge,7.2807947,80.6137746,7,6,51.6
Jaffna Bright Hotel,9.6819832,80.0253751,4,8,48
Jaffna Heritage Hotel,9.6709466,80.0279985,5,13,62.4
Jaga Bay Resort,5.9673936,80.4507371,3,12,62.4
Janishi Residencies,7.2317904,79.8410216,2,9,25.8
Jansen's bungalow sinharaja,6.4416645,80.4132157,0,3,56.4
Janus Paradise Rest,6.3846721,80.0088942,3,3,52.8
Jarushan Inn,9.6834383,80.0307464,4,6,27.6
Jasmin Villa Ayurveda Resort Spa,7.2444411,79.8546202,2,6,51.6
Jasper House,5.9612113,80.7106512,2,2,50.4
Jayalath Homestay,6.0474392,80.2090532,17,10,28.2
Jayasinghe Holiday Resort,6.3956863,81.3233859,1,0,42
Jays Holiday Resort,8.0281314,80.7661895,0,3,50.4
Jetwing Ayurveda Pavilions,7.2369678,79.841763,2,8,50.4
Jetwing Blue,7.2416972,79.8418535,1,7,88
Jetwing Colombo Seven,6.9163848,79.8702139,25,31,90
Jetwing Jaffna,9.664878,80.0136,5,16,86
Jetwing Kandy Gallery,7.2662427,80.7096259,1,2,75.2
Jetwing Kurulubedda,6.0482692,80.1960396,23,10,72
Jetwing Lake,7.8397627,80.6490279,1,3,92
Jetwing Lighthouse,6.0421658,80.1947705,23,8,90
Jetwing Sea Hotel,7.2514995,79.8422404,2,6,84
Jetwing Surf,6.8795494,81.8431335,2,7,72
Jetwing Vil Uyana,7.9306264,80.7207444,1,3,73.6
Jie Jie Beach by Jetwing,6.7034646,79.9061982,5,2,82
Jim's Farm Villas,7.6213553,80.6199238,1,0,24.6
JKAB Beach Resort,8.5960111,81.222541,1,3,64
JKAB Park Hotel,8.5939893,81.2167535,1,3,60.8
Joes Habarana Village,7.997761,80.729523,1,1,48
Joes Resort Bentota,6.388257,80.007713,3,3,65.6
Joes Resort Unawatuna,6.0081577,80.2511825,2,17,68.8
Juli Reception Hall,8.9802856,79.9062118,3,4,44.4
Juliana Hotel,6.9090728,79.8499501,23,35,55.2
Jungle Bay Resort Nilaveli,8.664903,81.2144394,2,0,26.4
Jungle Beach Camp Ahungalla,6.3067975,80.0340348,3,8,55.2
Jungle Beach Inn,6.0262479,80.2432743,5,13,24
Jungle Beach Restaurant Ahungalla,6.306762,80.0340716,3,8,51.6
Jungle Beach Restaurant And Hotel-JBR,6.01653,80.2373959,5,16,45.6
Jungle Guest House,6.0371119,80.2178211,13,36,23.4
Jungle Heart Cabanas,6.4419493,80.0302267,3,3,25.2
Jungle Soul mini-hotel & pancake club,5.943113,80.4666153,3,22,27
Jungle Village,6.0176162,80.2418823,5,17,50.4
JungleVilla,6.369879,80.0189091,2,6,23.4
K Beach Resort,5.9408333,80.495,3,11,20.4
Kabalana Villa,5.983052,80.3484,3,15,52.8
Kadolana Eco Village,6.2654524,80.0463959,3,8,25.2
KAJU GREEN Eco lodges,6.0143032,80.269574,2,8,52.8
Kalan Villa,6.0396023,80.2278362,6,30,22.8
Kalapuwa Resort,7.2077243,79.8375026,5,16,50.4
Kalla Bongo Lake Resort,6.1418459,80.1178563,3,4,52.8
Kalpitiya Chalets by Thilanka,8.1440998,79.732582,0,0,28.8
Kalpitiya Guest House,8.2479178,79.7600327,1,5,54
Kamili Beach Villa,6.6299352,79.9402836,1,3,60.8
Kaminrich,5.9362197,80.5222539,3,9,65.6
Kandy City Hostel,7.2819026,80.6528924,4,22,51.6
Kandy City Hotel by Earl's,7.2938113,80.6358232,14,37,64
Kandy City Stay,7.286733,80.627697,12,32,65.6
Kandy Hills,7.2847072,80.6473615,11,33,52.8
Kandy Samadhi Centre,7.3618177,80.7363392,0,2,54
Kandy Shady Trees Villa,7.284163,80.644429,13,35,23.4
Kandy Unique Hotel,7.274756,80.6373157,9,8,25.2
Kandy Victoria Eco Resort,7.2488771,80.7185387,1,0,54
Kandy View Hotel,7.2827064,80.6494358,7,32,57.6
Kandy Waters Hotel,7.2879194,80.6418723,13,35,23.4
Kandyan Reach,7.4790829,80.3723887,8,6,64
Kandyan Reach Hotel,7.4790829,80.3723887,8,6,64
Kandyan View Holiday Bungalow,7.2764592,80.6257705,9,8,49.2
Kanola Luxury Hotel,8.323748,80.4060178,9,3,50.4
Karl Holiday Bungalow,6.596569,79.9524968,3,4,28.2
Karunakarala Ayurveda Resort,7.2713723,79.8593509,3,6,50.4
Kashyapa Kingdom View Home,7.9478931,80.7525253,1,13,50.4
Kassapa Lions Rock,7.9796777,80.7272815,1,2,67.2
Katagamuwa rest,6.4098646,81.3530537,2,0,25.8
Kaveri Ayurveda Resort,7.9946093,80.7321853,1,1,50.4
Kaya Wellness Village,7.05231,79.85741,0,2,68.8
KAYJAY BEACH FRONT,7.0332717,79.860664,0,2,44.4
Kayjay Beach House,7.9190739,81.5695408,0,4,45.6
Kelaniya Heritage,6.9754096,79.922715,4,0,55.2
Kele Resorts,6.3974064,81.3625305,1,0,26.4
Kethumathee Hotel,6.7105328,80.3812148,0,0,65.6
Kevin Hotel,5.9602185,80.6806131,2,2,26.4
Kima Surf Camp Sri Lanka,5.9753069,80.4392547,3,13,57.6
Kingcity Resort,8.3142663,80.4212838,4,0,46.8
Kingfisher Hotel,6.0086277,80.2442291,3,16,67.2
Kings Island Resort,7.203913,79.8363966,5,13,22.8
Kings Pavilion Kandy,7.2938144,80.6234488,13,25,55.2
KINGS VILLA,7.296773,80.724879,2,1,50.4
Kiri Palu,5.972227,80.3730205,3,8,28.2
Kite Paradise Resort-Kalpitiya,8.2313812,79.7451808,0,2,24
Kitelantis,8.2448955,79.7540159,1,4,56.4
Kitesurfing Lanka,8.2165191,79.7156787,0,5,54
kitesurfing sri lanka - De Silva Kite school Kalpitiya,8.2309326,79.7403247,0,3,56.4
Kithul Kanda Mountain Resort,6.8583321,80.0973705,7,2,86
KK Beach Galle,5.9939374,80.303276,3,13,54
Kodev,8.2500957,79.7497946,1,1,29.4
Koggala Beach Hotel,5.989332,80.321083,5,18,64
Koggala Village Club,5.9877376,80.3246536,5,19,60.8
Kottawatta Village,6.4063889,80.8011111,0,1,64
KOZY B&B,6.8342605,79.8682562,5,6,29.4
Kreation Hotel & Restaurant,6.9054526,79.8523433,22,32,27.6
Krishan Villa,7.2122217,79.8616529,3,4,24
Kubura Resort,8.3210752,80.380112,3,4,65.6
Kudila Resort,8.3217397,80.3820378,3,5,28.2
Kumbukgaha Villa,8.0007309,80.74404,0,1,54
Kumbukgahawatta Hotel,6.6597389,79.9400284,1,0,49.2
Kumu Beach,6.2553709,80.0390653,4,4,56.4
Kumudu Valley Resort,7.3056288,79.840683,3,0,64
Kunam Beach Guest House,7.7189041,81.7150901,5,9,46.8
